,A,B,C,D,E,F
106,Bamboo Shoots ,29,,,402.1,Bamboo Shoots 
107,Banana ,57,,,152.4,Banana 
108,"Barley without husk, whole grain ",96,,,71.1,"Barley without husk, whole grain "
109,"Bean sprouts, Soya ",80,,,378.3,"Bean sprouts, Soya "
110,"Beans, French (string beans, haricot) ",37,20,43,266.9,"Beans, French (string beans, haricot) 3720"
111,"Beans, French, dried ",45,40,50,39.4,"Beans, French, dried 4540"
112,"Beef, corned (German) ",57,,,96.5,"Beef, corned (German) "
113,"Beer, alcohol free ",8.1,,,75.4,"Beer, alcohol free "
114,"Beer, Pilsner lager beer, regular beer, German ",13,,,75.2,"Beer, Pilsner lager beer, regular beer, German "
115,"Beer, real, light ",14,,,86,"Beer, real, light "
116,Beet root ,19,15,21,108.5,Beet root 1915
117,"Bilberry, blueberry, huckleberry ",22,,,143.7,"Bilberry, blueberry, huckleberry "
118,"Brain, Calf’s ",92,,,203.1,"Brain, Calf’s "
119,"Bread, wheat (flour) or (white bread) ",14,,,13.9,"Bread, wheat (flour) or (white bread) "
120,Broccoli ,81,,,691.6,Broccoli 
121,Brussels sprouts ,69,,,456,Brussels sprouts 
122,"Cabbage, red ",32,19.79,36.62,350.2,"Cabbage, red 3219.79"
123,"Cabbage, savoy ",37,19.87,42.71,342.6,"Cabbage, savoy 3719.87"
124,"Cabbage, white ",22,,,210.3,"Cabbage, white "
125,Carrot ,17,14,25,155.9,Carrot 1714
126,Cauliflower ,51,,,537.9,Cauliflower 
127,Caviar substitute ,18,,,37.8,Caviar substitute 
128,Celeriac ,30,,,390.6,Celeriac 
129,"Cheese, Brie ",7.1,,,5,"Cheese, Brie "
130,"Cheese, Cheddar/Cheshire cheese, 50.00% fat content ",6,,,4.3,"Cheese, Cheddar/Cheshire cheese, 50.00% fat content "
131,"Cheese, cottage ",9.4,,,22,"Cheese, cottage "
132,"Cheese, Cheddar/Cheshire cheese, 50.00% fat content ",7.1,,,6.8,"Cheese, edam, 30.00% fat content in dry matter "
133,"Cheese, edam, 40.00% fat content in dry matter ",7.1,,,5.4,"Cheese, edam, 40.00% fat content in dry matter "
134,"Cheese, edam, 45.00% fat content in dry matter ",7.1,,,4.8,"Cheese, edam, 45.00% fat content in dry matter "
135,"Cheese, Limburger, 20.00% fat content in dry matter ",32.0,,,41.7,"Cheese, Limburger, 20.00% fat content in dry matter "
136,"Cherry, Morello ",17,,,75.5,"Cherry, Morello "
137,"Cherry, sweet ",7.1,,,64.2,"Cherry, sweet "
138,Chicory ,12,,,171.8,Chicory 
139,Chinese leaves ,21,,,412.4,Chinese leaves 
140,Chives ,67,,,581.2,Chives 
141,"Cocoa powder, oil partially removed ",71,,,49.7,"Cocoa powder, oil partially removed "
142,"Corn, sweet ",52,,,140.9,"Corn, sweet "
143,"Fish, Crayfish ",60,,,220.3,"Fish, Crayfish "
144,Cress ,28,,,200.8,Cress 
145,Crispbread ,60,,,44.9,Crispbread 
146,Cucumber ,7.3,,,141.7,Cucumber 
147,"Currant, red ",17,,,122.6,"Currant, red "
148,"Date, dried ",35,,,29.9,"Date, dried "
149,"Elderberry, black ",33,,,144.4,"Elderberry, black "
150,Endive ,17,,,297.7,Endive 
151,Fennel leaves ,14,10,16,139,Fennel leaves 1410
152,Fig (dried) ,64,,,60.4,Fig (dried) 
153,"Fish, eel (smoked) ",78,45,110,57.2,"Fish, eel (smoked) 7845"
154,Frankfurter sausages ,89,68.74,129.52,80.2,Frankfurter sausages 8968.74
155,Gooseberry ,16,,,101.3,Gooseberry 
156,Grape ,27,,,94.6,Grape 
157,"Grass, Viper’s (black salsify) ",71,,,939.4,"Grass, Viper’s (black salsify) "
158,Kale ,48,,,309.1,Kale 
159,"Kiwi fruit (Chinese gooseberry, strawberry peach ",19,,,88.5,"Kiwi fruit (Chinese gooseberry, strawberry peach "
160,Kohlrabi ,25,10.86,29.61,243.9,Kohlrabi 2510.86
161,Leek ,74,,,714.1,Leek 
162,Lettuce ,13,9.75,29.25,274.4,Lettuce 139.75
163,"Lettuce, Lamb’s ",38,,,645.3,"Lettuce, Lamb’s "
164,"Meat, luncheon ",70,,,58.8,"Meat, luncheon "
165,"Melon, Cantelope ",33,,,143,"Melon, Cantelope "
166,"Millet, shucked corn ",62,,,41.9,"Millet, shucked corn "
167,Morel ,30,,,748.9,Morel 
168,Mushroom ,58,55.48,60.52,858.2,Mushroom 5855.48
169,"Mushroom, flat, edible Boletus ",92,,,1011.6,"Mushroom, flat, edible Boletus "
170,"Mushrooms, canned, solid and liquid ",29,,,488.5,"Mushrooms, canned, solid and liquid "
171,"Mushrooms, Chanterelle ",17,,,356.2,"Mushrooms, Chanterelle "
172,"Mushrooms, Chanterelles, canned, solids & liquids ",17,,,114.2,"Mushrooms, Chanterelles, canned, solids & liquids "
173,"Nuts, Brazil ",23,,,8.3,"Nuts, Brazil "
174,"Nuts, hazelnut (cobnut) ",37,27,42,13.9,"Nuts, hazelnut (cobnut) 3727"
175,"Nuts, peanut ",79,,,33.8,"Nuts, peanut "
176,"Oats, without husk, whole grain ",94,,,63.6,"Oats, without husk, whole grain "
177,"Olive, green, marinated ",29,,,51.1,"Olive, green, marinated "
178,Onion ,13,,,112.4,Onion 
179,Orange ,19,,,105.9,Orange 
180,Ox brain ,75,,,140.7,Ox brain 
181,Oyster ,90,,,322.6,Oyster 
182,"Oyster, mushroom ",50,,,1054.6,"Oyster, mushroom "
183,"Parsley, leaf ",57,,,266.2,"Parsley, leaf "
184,"Pasta made with egg (noodles, macaroni, spaghetti ",40,,,26.6,"Pasta made with egg (noodles, macaroni, spaghetti "
185,"Pea, pod and seed, green ",84,,,245.7,"Pea, pod and seed, green "
186,"Pea, seed, dry ",95,84.78,166.56,82.7,"Pea, seed, dry 9584.78"
187,Peach ,21,,,119.6,Peach 
188,Pear ,12,2,17,51.5,Pear 122
189,"Peppers, green ",55,,,681,"Peppers, green "
190,Pig’s brain ,83,,,161.71,Pig’s brain 
191,Pineapple ,19,,,81.4,Pineapple 
192,Plaice ,93,,,257.6,Plaice 
193,Plum ,24,,,116.8,Plum 
194,"Plum, dried ",64,,,67.9,"Plum, dried "
195,Potato ,16,,,53.6,Potato 
196,"Potato, cooked with skin ",18,,,60.3,"Potato, cooked with skin "
197,"Pudding, black ",55,37.23,90.55,42.8,"Pudding, black 5537.23"
198,Pumpkin ,44,,,422,Pumpkin 
199,Quince ,30,,,185,Quince 
200,Radish ,15,,,234.3,Radish 
201,Radishes ,13,,,210.6,Radishes 
202,Raspberry ,18,,,126.3,Raspberry 
203,Rhubarb ,12,,,212.6,Rhubarb 
204,"Rolls, bread ",21,,,18.2,"Rolls, bread "
205,"Rye, whole grain ",51,47,63,41,"Rye, whole grain 5147"
206,"Sauerkraut, dripped off ",16,12,20,224.7,"Sauerkraut, dripped off 1612"
207,Sausage Bierschincken ,85,,,117.3,Sausage Bierschincken 
208,Sausage Fleischwurst ,78,,,66.8,Sausage Fleischwurst 
209,Sausage Mortadella ,96,79,130,67.4,Sausage Mortadella 9679
210,Sausage Munich Weisswurst ,73,,,65.7,Sausage Munich Weisswurst 
211,"Sausage, Vienna ",78,,,65.7,"Sausage, Vienna "
212,"Sausages, frying, from veal ",91,,,81.5,"Sausages, frying, from veal "
213,"Sausages, German (Mettwurst) ",74,,,45.9,"Sausages, German (Mettwurst) "
214,"Sesame (gingelly) seed, Oriental, dry ",62,,,26.5,"Sesame (gingelly) seed, Oriental, dry "
215,Spinach ,57,,,844.7,Spinach 
216,"Squash, summer ",24,,,296.2,"Squash, summer "
217,Strawberry ,21,11.81,25.59,156.8,Strawberry 2111.81
218,Tench ,80,,,243.8,Tench 
219,Tofu ,68,,,196.4,Tofu 
220,Tomato ,11,,,145.7,Tomato 
221,"Nuts, Walnut ",25,,,9.1,"Nuts, Walnut "
222,"Wheat, whole grain ",51,40.2,83.41,39.4,"Wheat, whole grain 5140.2"
223,"Yogurt, min. 3.50% fat content ",8.1,,,27.7,"Yogurt, min. 3.50% fat content "
